volume,number,title,date_subject,date_published,graphics,physical,subject,location,abstract,notes,catalog_date,catalog_by,date_entered,date_modified,source_file
Volume 2,1888,Check presentation.,"1964-02-06 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, May 24, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1889,[Signing proclamation.?],"1964-09-23 DO Porter, Lota F.",,"Negatives, 3",35mm B/W,[],"[""Porter neg drawers""]",,Mayor and woman seated with five men standing watching.,"McGill, May 24, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1890,Fire scene.,"1964-02-16 DO Porter, Lota F.",,"Negatives, 17 Photoprints, 2",2x2B/W 8x10 B/W,"[""FIRES"", ""SNOW"", ""STR BROAD ST E--120""]","[""Porter neg drawers"", ""rf BROAD ST E--120""]",,,"McGill, May 24, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1891,Public Works convention at Marriott Motor Hotel.,"Apr. 23 & 24, 1964 DO Porter, Lota F.",,"Negatives, 47",2x2B/W,"[""PUBLIC WORKS""]",[],,Shots of heavy equipment in parking lot.,"December 16,2002",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1892,Students have their day in court.,"1964-05-11 DO Porter, Lota F.",,"Negatives, 8",2x2B/W,"[""MUNICIPAL ADMINISTRATION""]","[""Porter neg drawers""]",,,"McGill, May 24, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1893,Council in session.,"1964-05-18 DO Porter, Lota F.",,"Negatives, 8 Photoprints, 3",2x2 B/W 8x10 B/W,"[""MUNICIPAL ADMINISTRATION"", ""CITY PLANNING"", ""SA Record No. 2256""]","[""Porter neg drawers"", ""CITY COUNCIL--1964, 1967""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1894,McDaniel's Esso station.,"1964-06-10 DO Porter, Lota F.",,"Negatives, 8",2x2 B/W,"[""AUTOMOBILES--SERVICE STATIONS"", ""STR BROAD ST W--935""]","[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,2016-03-07,,General_Index_FCHR_Vol_2
Volume 2,1895,Master plan map.,"1964-08-08 DO Porter, Lota F.",,Negative Map,2 1/2x3 1/2B/W,"[""CITY PLANNING""]","[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1896,Presentation of plaque.,"1964-09-05 DO Porter, Lota F.",,"Negatives, 12",2x2 B/W,"[""INSURANCE BUSINESS""]","[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1897,Brock's lawnmower service.,"Sep. 14,1964 DO Porter, Lota F.",,"Negatives, 4 Photoprints, 4",2x2B/W 8x10 B/W,[],"[""Porter neg drawers"", ""BROAD ST W--1000""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1898,City Hall.,"1964-09-09 298 DO Porter, Lota F.",,"Negatives, 4 Photoprint","4x5B/W (1),2x2 B/W (3) 8x10 B/W","[""MUNICIPAL BUILDINGS"", ""STR PARK AVE--300""]","[""Porter neg drawers"", ""PARK AVE--300--CITY HALL""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1899,East Falls Church.,"1964-09-30 DO Porter, Lota F.",,"Negatives, 6 Photoprints, 3",13/4x2 1/4B/W 8x10 B/W,"[""MASONIC TEMPLE"", ""FALLS CHURCH BANK"", ""EAST FALLS CHURCH"", ""STR LEE HWY & WASHINGTON BLVD""]","[""Porter neg drawers"", ""ARLINGTON CO--LEE HWY AND WASHINGTON BLVD""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1900,"Washington, D. C. DO Porter, Lota F.",,,"Negatives, 8",4x5B/W,"[""CAPITOL"", ""WASHINGTON MONUMENT"", ""RIVERS"", ""BOATS""]","[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1901,Used cars - Buick.,"1964-10-29 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,"[""AUTOMOBILE INDUSTRY AND TRADE"", ""RAILROADS"", ""STR BROAD ST W--1000 BLOCK""]","[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1902,Korvette views.,"1964-11-22 DO Porter, Lota F.",,"Negatives, 47",2x2 B/W,"[""DEPARTMENT STORES""]","[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1903,Tea party at public library for Steadman book.,"1964-12-06 DO Porter, Lota F.",,"Negatives, 36 Photoprints (proofs), 25",2x2B/W 8x10 B/W,"[""FALLS CHURCH BY FENCE AND FIRESIDE"", ""BOOKS""]","[""Porter neg drawers"", ""PUBLIC LIBRARY--12/6/64""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1904,Lord & Taylor site and construction.,"1965-01-28 Feb. 21, 1965 DO Porter, Lota F.",,"Negatives, 10",13/4x 2 1/4 BIW,[],"[""Porter neg drawers""]",,,"McGill, May 25, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1905,[Voter registration certificates and oaths.],"1947-1965 DO Taylor, Deborah",,,,"[""NAMES"", ""VOTERS"", ""ELECTIONS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1950-1965""]",,,"McGill/Dinh, May 26, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1906,[Voter registration certificates and oaths.],"1947-1965 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1950-1965""]",,,"McGill/Dinh May 26, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1907,[Voter registration certificates and oaths.],"1947-1965 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1950-1965""]",,,"McGill/Dinh, May 31, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1908,[Voter registration certificates and oaths.],"1947-1965 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1950-1965""]",,,"McGill/Dinh June 1, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1909,Greenwich Street Gazette. Springs abundant on Greenwich Street.,,"Spring, 1994 DO Maier, John",Map,,"[""RIVERS"", ""DRAINAGE"", ""TRIPPS RUN"", ""AMERICAN LEGION HALL"", ""STR GREENWICH ST"", ""LINCOLN AVE""]","[""NEWSLETTERS--GREENWICH STREET GAZETTE""]",,,"McGill, June 2, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1910,Arthur Godfrey at Ware's Drug Store. 310,,"1940 (?) DO Ballinger, Anita Sauveur",Photoprint,"8""x 10"", B/W",[],"[""th GODFREY, ARTHUR""]",,,"McGill, June 2, 1994",,2016-03-07,,General_Index_FCHR_Vol_2
Volume 2,1911,,"1965-03-27 DO Porter, Lota F.",,"Negatives, 4",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1912,Brown's Cadillac.,"1965-04-25 DO Porter, Lota F.",,"Negatives, 5",2x2B/W,"[""AUTOMOBILE ACCIDENTS""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1913,Municipal parking lot.,"1965-05-10 DO Porter, Lota F. Well, Harry E.",,"Negatives, 6 Photoprint",35mm C 8x10 C,"[""PARKING"", ""STR BROAD ST W--100 BLOCK""]","[""Porter neg drawers"", ""rf BROAD ST W--100 BLOCK.""]",,Negative of print from Wells not found in our collection. 10/15/96,"McGill, June 6, 1994, Oct. 15, 1996",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1914,,"1965-05-24 DO Porter, Lota F.",,"Negatives, 4",2x2B/W,"[""DEPARTMENT STORES"", ""SEVEN CORNERS"", ""312""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,2016-03-07,,General_Index_FCHR_Vol_2
Volume 2,1915,City Hall.,"1965-05-20 DO Porter, Lota F.",,"Negatives, 2",2x2C,"[""MUNICIPAL BUILDINGS""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DMc,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1916,Wedding.,"1965-06-04 DO Porter, Lota F.",,"Negatives, 33",2x2 B/W and C (3),"[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1917,Collision.,"1965-06-09 DO Porter, Lota F.",,"Negatives, 12",2x2B/W,"[""TRAFFIC ACCIDENTS"", ""STR LINCOLN AVE""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1918,Grand opening.,"1965-06-12 DO Porter, Lota F.",,"Negatives, 54",2x2 B/W and C (1),"[""BANKS AND BANKING"", ""STR WASHINGTON ST N--101""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1919,,"1965-06-17 DO Porter, Lota F. 314",,"Negatives, 15",13/4x2 1/2 B/W,[],"[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1920,Office building.,"1965-07-03 DO Porter, Lota F.",,"Negatives, 25","2x2 B/W, 2 3/4x3 3/4 B/W (1)",[],"[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1921,"House and street. DO Porter, Lota F.",,,"Negatives, 3",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1922,Park bench and four people.,"1965-08-17 DO Porter, Lota F.",,"Negatives, 4",2x2B/W,"[""PARKING"", ""STR BROAD ST W--100 BLOCK""]","[""Porter neg drawers""]",,,"McGill, June 6, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1923,Extract from the minutes of the regular meeting of the City Council...,"July 23,1956 DO Frady, Donald S.",,,,[],"[""fh FRADY, DONALD S.""]",,,"McGill, June 7, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1924,Teen Canteen Va. champs.,"1952(?) DO Frady, Donald S.",,Photoprint,"8""x 10"", B/W","[""BASEBALL"", ""DOGS""]","[""BASEBALL""]",,,"McGill, June 7, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1925,Falls Church area.,"1949-03-04 DO Koth, David",,Negatives Photoprints,"3""x4"", B/W 8""x 10"", B/W CPS Two copies each of two negatives","[""IGLOO VILLAGE"", ""ARLINGTON COUNTY"", ""STR HORSESHOE DR"", ""KIRBY RD"", ""GALLOWS RD""]","[""Porter neg drawers sf AERIALS"", ""AERIALS""]",,,"June 8, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1926,[Voter registration certificates and oaths.],"1965-1970 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1965-1970""]",,,"McGill/Dinh, June 9, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1927,[Voter registration certificates and oaths.] 318,"1965-1970 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1965-1970""]",,,"McGill/Dinh, June 9, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1928,[Voter registration certificates and oaths.],"1965-1970 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1965-1970""]",,,"McGill/Dinh, June 15, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1929,Bride. Wedding.,"Sep. 14,1965 Sep. 18, 1965 DO Porter, Lota F.",,"Negatives, 37","2x2 B/W (27), 2x2 C (3), 4x5 B/W (2), 2 1/2x3 1/2 B/W (2), 35mm 323 B/W (3)","[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1930,Falls Church Motel.,"Sep. 23,1965 DO Porter, Lota F.",,"Negatives, 3",2x2C,"[""HOTELS, TAVERNS, ETC."", ""STR CAVALIER TRAIL"", ""WASHINGTON ST S--597""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1931,Roger's Automotive Service towing Riviera.,"Sep. 14,1965 DO Porter, Lota F.",,"Negatives, 3 324",35mm B/W,"[""RIVIERA AUTOMOBILE"", ""STR CHAPEL RD"", ""OX RD""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1932,Wedding.,"1965-10-02 DO Porter, Lota F.",,"Negatives, 42","2x2B/W, 2x2 C (1)","[""MARRIAGES"", ""STR JACKSON ST--807""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1933,Lord & Taylor.,"1965-09-26 DO Porter, Lota F.",,"Negatives, 5",2x2B/W,"[""SEVEN CORNERS""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1934,"Koon's Ford. DO Porter, Lota F.",,,"Negatives, 6",2x2B/W,"[""AUTOMOBILE INDUSTRY AND TRADE""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1935,Lions conference.,"1965-10-16 DO Porter, Lota F.",,"Negatives, 98",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1936,Sorority pin.,"1965-10-28 DO Porter, Lota F.",,"Negatives, 6","4x5 B/W (2),2x2 B/W (3), 3 1/2x 2/34 B/W (1)","[""SORORITIES"", ""STR FOREST DR--301"", ""SA Record No. 1982""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1937,Proposed site plan and traffic circulation.,"1965-10-18 DO Porter, Lota F.",,"Negatives, 5",35mm B/W,"[""CITY HALL""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1938,Project at Arlington Cemetery?,"1965-11-17 327 DO Porter, Lota F.",,"Negatives, 9",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1939,,"1965-11-22 DO Porter, Lota F.",,Negatives6,13/4x2 1/2 B/W,[],"[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1940,,"1966-01-25 DO Porter, Lota F.",,"Negatives, 15",111/2x2 1/4 B'W,[],"[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016 328",,General_Index_FCHR_Vol_2
Volume 2,1941,Wedding.,"1966-01-20 Feb. 5, 1966 DO Porter, Lota F.",,"Negatives, 35","2x2 B/W, 4x5 B/W (1)","[""MARRIAGES"", ""SNOW""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1942,New Kodak versamat film processor. Mechanized system counseling service.,"1966-02-21 DO Porter, Lota F.",,"Negatives, 2",4x5B/W,"[""PHOTOGRAPHIC EQUIPMENT AND SUPPLIES""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,2016-03-07 329,,General_Index_FCHR_Vol_2
Volume 2,1943,Welcome wagon.,"1966-02-25 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1944,Cornerstone laying.,"1966-03-26 DO Porter, Lota F.",,"Negatives, 33","2x2B/W,11/2x2/14 B/W","[""SECRET SOCIETIES"", ""STR LITTLE FALLS ST--509""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1945,Wedding.,"1966-03-27 DO Porter, Lota F.",,"Negatives, 43","2x2C (3), 2x2 B/W","[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 14, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1946,Wires in front of Pohurtill Building.,"1966-03-30 DO Porter, Lota F.",,"Negatives, 9",2x2B/W,"[""WATER TOWERS"", ""STARS"", ""MUNICIPAL PARKING"", ""STR BROAD ST E--100 BLOCK""]","[""Porter neg drawers""]",,,"McGill, June 15, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1947,,"Apr.7, 1966 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,"[""AUTOMOBILE INDUSTRY AND TRADE""]","[""Porter neg drawers""]",,,"McGill, June 15, 1994",DM,2016-03-07,,General_Index_FCHR_Vol_2
Volume 2,1948,Sorotity pictures with pin.,"Apr.9, 1966 DO Porter, Lota F.",,"Negatives, 3",2 1/2x3 1/2B/W,"[""SORORITIES"", ""PINS""]","[""Porter neg drawers""]",,,"McGill, June 15, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1949,Seven Corners.,"1966-05-02 332 DO Porter, Lota F.",,"Negatives, 11",13/4x2 1/2B/W,"[""AUTOMOBILES-- SERVICE STATIONS"", ""STR LEESBURG PIKE""]","[""Porter neg drawers""]",,Good panorama of Seven Corners from a height.,"McGill, June 15, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1950,Buddy Poppy days.,"1966-05-06 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,"[""CITY HALL""]","[""Porter neg drawers""]",,,"McGill, June 15, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1951,Falls Church Mortgage.,"1966-05-10 DO Porter, Lota F.",,"Negatives, 28",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 15, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1952,[Voter registration certificates and oaths.],"1965-1970 DO Taylor, Deborah",,,,"[""NAMES"", ""ELECTIONS"", ""VOTERS""]","[""Blue acid-free box labelled VOTER REGISTRATION 1965-1970""]",,,"McGill/Dinh, June 15, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1953,[Voter registration certificates and oaths.],"1965-1970 DO Taylor, Deborah",,,,[],[],,,"March 07,2016",,2016-03-07,,General_Index_FCHR_Vol_2
Volume 2,1954,Landscaping at Falls Church Municipal Parking lot.,"1966-05-07 DO Porter, Lota F.",,"Negatives, 7",2x2C,"[""MUNICIPAL PARKING""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1955,Second floor construction.,"1966-05-10 337 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,"[""POHURTILL BUILDING"", ""STR BROAD ST W--100 BLOCK""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1956,Barsoum residence.,"1966-05-12 DO Porter, Lota F.",,"Negatives, 16",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1957,Building on Ward property.,"1966-05-19 DO Porter, Lota F.",,"Negatives, 338 Drawing",2x4 B/W,[],"[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1958,South Pacific.,"1966-05-27 DO Porter, Lota F.",,"Negatives, 73",2x2B/W,"[""AMATEUR THEATER""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1959,Peacock Buick lot in central business district.,"1966-05-31 DO Porter, Lota F.",,"Negatives, 19","2x2 B/W (4), 1 3/4x2 1/2 B/W (15)","[""AUTOMOBILE PARKING"", ""STR MAPLE AVE S""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1960,Wedding.,"1966-06-20 DO Porter, Lota F.",,"Negatives, 24",2x2B/W,"[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1961,Wedding.,"1966-06-25 DO Porter, Lota F.",,"Negatives, 22",2x2B/w,"[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1962,Wedding.,"1966-06-27 DO Porter, Lota F.",,"Negatives, 25",2x2B/W,"[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1963,Campaign at Arlington Fairfax Elks Lodge.,"1966-07-08 DO Porter, Lota F.",,"Negatives, 32",2x2B/W,"[""ELECTIONS--UNITED STATES. SENATE""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1964,Bulging wall.,"1966-07-08 341 DO Porter, Lota F.",,"Negatives, 4",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1965,,"July 14,1966 DO Porter, Lota F.",,"Negatives, 2",21/2x3 1/2 B/W,"[""RADIO""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1966,Wedding.,"1966-07-16 DO Porter, Lota F.",,"Negatives, 41","2x2 B/w (34), 2x2 C (4), 35mm B/W (3)","[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1967,Post office building.,"1966-07-18 DO Porter, Lota F.",,Negative,2x2C,"[""POSTAL SERVICE"", ""STR BROAD ST W--300""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1968,Sculpture.,"1966-08-30 DO Porter, Lota F.",,"Negatives, 5",4x5B/W,"[""SCULPTURE""]","[""Porter neg drawers""]",,,"McGill, June 16, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1969,Masonic lodge. Odd Fellows building.,"1966-07-18 DO Porter, Lota F.",,"Negatives, 9 Photoprint",2x2B/W 8x10 B/W,"[""SECRET SOCIETIES"", ""STR BROAD ST W--248"", ""LITTLE FALLS ST--509"", ""BROAD ST E & CHURCH PL"", ""ORG ODD FELLOWS, INDEPENDENT ORDER OF (I0OOF)"", ""KEMPER LODGE NO. 64 AF. & AM."", ""ACACIA LODGE NO. 51 O.E.S."", ""MACON WARE LODGE NO. 192""]","[""Porter neg drawers"", ""rf BROAD ST W--248--1956, 1966""]",,,"McGill, June 23, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1970,Lions Club International.,"Sep. 21,1966 DO Porter, Lota F.",,"Negatives, 12",2x2B/W,"[""VOICE OF AMERICA"", ""ORG VOICE OF AMERICA""]","[""Porter neg drawers""]",,,"McGill, June 23, 1994",DM,"March 07,2016 344",,General_Index_FCHR_Vol_2
Volume 2,1971,School bond drive.,"1966-09-28 DO Porter, Lota F.",,"Negatives, 11",2x2B/W,"[""REWARDS, PRIZES, ETC."", ""ORG LITTLE LEAGUE""]","[""Porter neg drawers""]",,,"McGill, June 23, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1972,Post office.,"1966-09-28 DO Porter, Lota F.",,"Negatives, 2",2x2B/W,"[""POSTAL SERVICE""]","[""Porter neg drawers""]",,,"McGill, June 23, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1973,Lions Club party with man in pool.,"1966-10-08 DO Porter, Lota F.",,"Negatives, 16",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 23, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1974,Washington House.,1994-01-01,,Illus,,[],"[""WASHINGTON ST N--222""]",,,"McGill, June 27, 1994",,2016-03-07,,General_Index_FCHR_Vol_2
Volume 2,1975,"Business cards, 2.",,,,,"[""NAMES"", ""COAT OF ARMS (56)"", ""HERALDRY (56)"", ""348"", ""BUSINESSES"", ""VIRGINIA TRAINING SCHOOL (31)"", ""STR GEORGE MASON RD W--2824 (37)"", ""SA Record No. 540""]",[],,,"McGill, June 27, 1994",,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1976,Wedding.,"1966-10-08 DO Porter, Lota F.",,"Negatives, 61","2x2 B/W (40), 1 3/4x2 1/4 B/W (21)","[""MARRIAGES""]","[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1977,Queen B Coiffures.,"1966-10-10 DO Porter, Lota F.",,Negative,2 1/2x3 1/2B/W,"[""BEAUTY SHOPS""]","[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1978,"Lynn Realty, Inc.","1966-10-18 DO Porter, Lota F.",,"Negatives, 3",13/4x2 1/2 B/W,"[""AUTOMOBILES--SERVICE STATIONS"", ""STR WASHINGTON ST S--706""]","[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1979,"Apollo Travel Service, Inc.","1966-10-29 DO Porter, Lota F.",,"Negatives, 3",2x2B/W,"[""TRAVEL AGENCIES"", ""STR BROAD ST E--118""]","[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1980,Priest on motorcycle.,"1966-11-01 DO Porter, Lota F. 350",,"Negatives, 3",2x2B/W,[],"[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1981,Medal presentation.,"1966-11-04 DO Porter, Lota F.",,Negative,3 1/2x4 1/4 B/W,[],"[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
Volume 2,1982,Sorority sisters.,"Nov. 1966 DO Porter, Lota F.",,"Negatives, 11","4x5 B/W (10), 2 1/2x3 1/2 B/W (1) 351","[""SORORITIES"", ""ORG BETA CHI SIGMA SORORITY"", ""SA Record No. 1936""]","[""Porter neg drawers""]",,,"McGill, June 27, 1994",DM,"March 07,2016",,General_Index_FCHR_Vol_2
