grantee,acreage,county,date,snippet
NATHANIELL BROWNE,300,Lancaster,1663-07-10,"NATHANIELL BROWNE, 300 acs. upon N. side of Lancaster Co., 10 July 1663, p. 135, (643). From Wiccocomico path E. & by N. &c. Trans, of 6 pers: Jno. Harris, Susan Harris, Mary Browne, Wm. Jones, Thomas Jones, Anthony Tinch. Patent Book No 5 By Sir William Berkeley"
COCKE,600,Lancaster,1663-08-25,"COCKE, 600 acs. Lancaster Co., 25 Aug. 1663, p. 136, (l). 300 acs. on S. side Rappa. Riv. bounded S. E. with Sandy Poynt Cr. & 300 acs. on S. side sd. Riv., bounding on 500 acs. granted to Randolph Camlett, now in possession of Jno. Jadwin. 300 acs. granted to Francis Browne 1 June 1652 & sold to sd. Nicholas & 300 acs. for trans, of 6 pers: Wm. Peche, Jno. Ran- dall, Jane Allan, Ann Swillevant, Tho- mas Cicell (?), Thomas Colcott."
MR. ROBERT GRIGGS,640,Lancaster,1664-03-24,"MR. ROBERT GRIGGS, 640 acs. on N. side of Lancaster Co., 24 Mar. 1664, p. 137, (3). Beg. at a branch issuing out of Col. Carter's Cr. &c. Trans, of 13 pers: Richard Dace (?), Susan Drury, Daniell Monroe, Mat. Borroughs, Daniell Long, Thomas Martin, Thomas Taylor, Thomas Delahay, Richard Hues, Xtopher Lucas, Jane Lucas, Rich. Stock- dale, A Negro."
GYLES CURTIS,300,Lancaster,1664-11-18,"GYLES CURTIS, 300 acs. called Turkey Necke, Lancaster Co., on S. side of Rappa. Riv., 18 Nov. 1664, p. 139, (6). Bet. branches of Mr. Parrotts Cr. Tr^ns. of 6 pers: Tho. Maw (or Man), Edw. Barnett. Wm. Angle, Rich. Dobins, Robt. Morton, Abra. Patermastr. MILES REYLY, (Rely Reily), 400 acs. on N. side of Rappa. Riv., Ewd. side of Totoskey Cr., beg. on S. side of Crosse Cr.. being an Eastermost br. of Totoskey Cr., adj. land held in joynt tenture by Tho. Robinson & Quintaine Sherman, running to la..."
RICHARD LAURENCE,1000,Lancaster,1664-01-01,"RICHARD LAURENCE, 1000 acs. Lancaster Co., 24 Sept. 1664, p. 141, (9). On the head of Fishing Cr. of Coratoman Riv., Nly. by land of Mr. Edwin Connaway, Ely. by Morattico path, Sly. by land of Tho. Chetwood, Tho. Marshall & Edward King. Trans. of 20 pers.* NOTE: The rights for this land is by vertue of a relinquished pattent for 1000 acres granted to the sd. Lawrence & Leanord Jones."
TOBIAS HORTON,200,Lancaster,1664-01-01,"TOBIAS HORTON, 200 acs. on N side of Lancaster Co., 27 May, 1664, p 143, (12). Beg. at mouth of Nantypoy son Cr., N. E. upon Fleets bay. Trans of 4 pers: Walter Collings, Tho. Bun- bury, John Snoke, Alice Miller."
RICHARD SEARLES,150,Northumberland,1665-04-10,"RICHARD SEARLES, 150 acs. Northumberland Co., 10 Apr. 1665, p. 145, (14). On E. side of Nomany Riv., E.N.E. upon land of Mr. Rice Maddocks, W.S.W. upon a small creek dividing it from land of Goodman Tasker. Granted unto Jno. Bennett 1 Aug. 1653 & by sd. 442 Cavaliers and Pioneers John & Elizabeth, his wife, assigned to Wm. Spencer 19 Feb. 1658, who as- signed to sd. Searles 27 Nov. 1660."
RICHARD BUSHROD,2000,Westmoreland,1665-04-10,"RICHARD BUSHROD, 2000 acs. Westmoreland Co., 10 Apr. 1665, p. 145, (14). In Potomack Riv. opposite against the Miompses Island, commonly called the Doegs Island, bounding S. on a great marsh. Granted sd. Bushrod 15 Oct. 1660 & upon his reasonable petition order was granted for renewing sd. pattent by a new grant; order dated 24 Mar. 1662. RICHARD BUSHROD &"
THOMAS BUSHROD,300,Northumberland,1665-04-10,"THOMAS BUSHROD, 300 acs. Northumberland Co., 10 Apr. 1665, p. 145, (15). S. side Potomack Riv., Wly. upon Nomeny bay, N. upon Cr. dividing this from land of Jno. Armsby. Granted unto Thomas Youell 16 Sept. 1651, assigned to Rice Maddocks, who assigned to Ralph Horsly, who reassigned to sd. Maddocks, who sold to George Durant, by whom it was sold unto sd. Bushrod."
THOMAS CHETWOOD,500,Lancaster,1663-01-01,"THOMAS CHETWOOD, 500 acs. on N. side of Lancaster Co., 9 July, 1663, p. 145, (15). Trans, of 10 pers: John Lawrence, Geo. Spell, Andrew Rayney, Wm. Corderoy, Thomas Ard- ington, Edward Jenings, John Mumford, Wm. Edwards, Jno. Taylor."
THOMAS COOPER,207,Lancaster,1664-06-07,"THOMAS COOPER, 207 acs. Lancaster Co., 7 June 1664, p. 146, (16). S. side of Coxes Cr., bounded on S. by land of Francis Browne, extending to trees of Oliver Segar. Granted to Francis Browne 10 May 1654, & by him as- signed to sd. Harper & Cooper, 5 May 1659."
JOHN HULL,300,Lancaster,1662-03-18,"JOHN HULL, 300 acs. Lancaster Co., 18 Mar. 1662, p. 152, (25). Upon Occapason Cr. Granted to Jno. Watson 12 June 1655, by him sold to Vincent Stanford, who sold to Edward Hudson, THOMAS MARSTON &"
WARD ISON,2500,Lancaster,1664-02-20,"WARD ISON, 2500 acs. Nancimond Co., 20 Feb. 1664, p. 154, (28). Trans, of 50 pers: Jno. Holland, Jno. Gaye, Eliz. Ludloe, Ambrose Right, Jno. Members, Joyce Arnall, Maudlin Jones, Mathew Castome, Richard Harris, Peter Rich, Robert White, John Wale, James Diddicutt, A Negro boy, Henry Mills, Heny Stone, Wm. Warde, Wm. Harri- son, Xtopher Ashly, Eliz. Baly, Jane Fisher, Alice King, George Coales, Danll. Burton, Jno. Johnson, Richard Newman, John Hewes, Mary Cocke, Tho. Belcher, John Fowke, 3 Negro..."
ANTHONY ARNOLD,500,Westmoreland,1665-05-03,"ANTHONY ARNOLD, 500 acs. Westmoreland Co., 3 May 1665, p. 159, (36). Upon the head of Coss Coss Cr., lying at the head of Robert Yeos land. Granted to Thomas Brereton 20 Sept. 1661 & by him deserted. Granted sd. Arnold by order of Council 25 Nov. 1663. The following names appear un- der this record: Nicholas Browninge, Mary Page, Mary Anderson, Henry Browne, Tho. Eggerly, Wm. Lane, 3 Negroes, Marke Dawson. JOHN ALEXANDER, Senior, 550 acs. Westmoreland Co., 23 Mar. 1664, p. 159, (36). S. side of ..."
THOMAS PALMER,365,Westmoreland,1664-03-23,"THOMAS PALMER, 365 acs. Westmoreland Co., 23 Mar. 1664. p. 159, (37). Bounded N.Ely, by land of Mr. Robt. Howsing & Mr. Davis, E. Sly. by Mr. John Ashton & S.Wly. by land lately surveyed for Mr. Jno. Ben- ton (or Bruton). Trans, of 7 pers: Joane Egg, Sarah King, James Willett, Ann Clutterbook. Jno. Head, Thomas Daubles, Robt. Paine."
MAJOR JOHN WASHINGTON,320,Westmoreland,1664-03-23,"MAJOR JOHN WASHINGTON, 320 acs. Westmoreland Co., 23 Mar. 1664, p. 161, (38). Upon S.E. side of Hollis Cr., beg. at an Oyster shell poynt, N.E. by N. upon Potomack Riv., N.W. by W. upon a cr. dividing this from land in possession of Mr. Daniell Lis- son, S.E. by E. upon a gutt dividing this & land in possession of Widdow Brookes &c. along Richard Hills lyne 228 perches till it falls on line of Mr. Daniell Lisson &c. 125 acs. granted to Henry Brooke 14 Oct. 1657 by him as- signed to Richard Coale..."
GEORGE FLOWER,400,Lancaster,1664-06-28,"GEORGE FLOWER, 400 acs. Lancaster Co., 28 June 1664, p. 165, (45). Being a neck 448 Cavaliers and Pioneers bet. two swamps of the E.most branch of Corotoman. Trans, of 8 pers: Rich- ard Merryman, Thomas Sampton (or Sampson), Edward Wood, Michael Jones, Mary Fletcher, Jno. Thorn- borough, Wm. Hide, Mathew Parker."
MR. ROBERT JONES,160,Lancaster,1664-06-28,"MR. ROBERT JONES, 160 acs. Lan- caster Co., 28 June 1664, p. 165, (46). Trans, of 4 pers: Thomas Rine, Henry Dunnum, Mary Lovewell. ALEX. READE & JOHN NEDLE (Nedles), 220 acs. Lancaster Co., 23 Feb. 1663, p. 166, (46). Upon N. of Peanketanck Riv., bounded upon S.W. with a W. br. of sd. Riv. opposite to the Store poynt Devident &c. extend, to a br. of Barbary Cr. Granted to Thomas Bourne, 26 Feb. 1653, by him assigned to Edward Webb, who assigned to the above named."
WM. BLAZE,350,Lancaster,1663-01-01,"WM. BLAZE, 350 acs. Lancaster Co., S. side of Rappa. Riv., 1 Sept. 1663, p. 166, (47). Adj. Rice Jones & his own land. Trans, of 7 pers.*"
MICHAEL ARMES,80,Lancaster,1663-12-12,"MICHAEL ARMES, 80 acs. N. side of Lancaster Co., 12 Dec. 1663, p. 167, (48). Bounding upon land of Daniell Harrison. Trans, of 2 pers: James Jones, Ann Parsones."
ROBERT KEMP,200,Lancaster,1663-02-25,"ROBERT KEMP, 200 acs. Lancaster Co., 25 Feb. 1663/4, p. 167, (48). On the head branch of Parratts Cr. Trans, of 4 pers: Jno. Mason, Edw. Wilson, Thomas Story, Wm. Rives."
MAJOR JOHN WASHINGTON,1700,Lancaster,1662-03-18,"MAJOR JOHN WASHINGTON, 1700 acs., lying bet. the head branches of Powetridge & Appamattox Cr., the one falling into Rappa. Riv. & the other into Potomack Riv., beg. by Wariscreeke path at cor. tree that lyeth next to land belonging to Nat. Pope, over certain branches falling into Appamattox Cr., W. by br. of Porortridge Cr. &c. by land cleared by Wm. Freake. 600 acs. granted Wm. Freake 18 Mar. 1662 & assigned to sd. Washington 26 Mar. 1664. 1100 acs. for trans, of 22 pers: Jno. Sherman, Robert B..."
EDWARD ROE,550,Lancaster,1663-06-29,"EDWARD ROE, 550 acs. Lancaster Co., 29 June 1663, p. 176, (63). On branches of Peanke- tancke Sw, running N. to trees of Mr. John Curtis by Mattapony path, then W. by N. inclining N. to Mr. Potters cor., then S.S.W. & S.W. to sd. Sw. &c. Trans, of 11 pers.* JOHN KNOWLES, 133 A. 35 chs. 9 decimall parts in James City Co., part within & part without the Lybertyes of sd. Citty, 6 Mar. 1665, p. 177, (63). Beg. by a ditch nere the house formerly belonging to John Phipps &c. nere a branch of Pitch & T..."
MR. AUGUSTINE CANT,750,Lancaster,1665-06-12,"MR. AUGUSTINE CANT, 750 acs. Lancaster Co., 12 June 1665, p. 193, (84). N. side of Peanketanck Riv., beg. at mouth of a small creek &c. run- ning to white oake parting this & land of Mr. Jno. Appleton. 500 acs. granted to Thomas Trotter 10 Aug. 1642 & purchased by Col. Augustine Warner & Major David Cant for use of sd. Augus- tine Cant; 250 acs. found within the bounds of aforesd. patent & due sd. Augustine Cant for trans, of 5 pers: Jno. Rumbald, Jno. Rawlings, Robert Passe, James Hopkins, Wm. ..."
JAMES COLLINS,400,Lancaster,1664-03-11,"JAMES COLLINS, 400 acs. Nanci- mund Co., 11 Mar. 1664, p. 195, (89). In the Up. Parish. Crossing the head of a small run nere land of Thomas Mayson. Trans, of 8 pers: Jno. Ben- nett, Rich. Harris, 1 name lost, Nathall. Gordon, Danll. Mackneal, ""3 persons more dyed after their arrivall in Virga."" MRS. MARY BAWD, the daughter & heire of Wm. Bawd, deed., 800 acs. Lancaster Co., 15 June 1665, p. 196, (89). Upon S. side & at the mouth of Rappa. Riv., bounded on E.S.E. with the maine bay, including Go..."
CAPT. JNO. JENNINGS,100,Lancaster,1664-01-01,"CAPT. JNO. JENNINGS, 100 acs. Isle of Wight Co., 29 Sept. 1664, p. 198, (92). Being all marsh land, bounded Wly. with Lownes Cr., Ely. by the land he now holds by right of his wife comprehending the great marsh & the Little Marsh &c. Trans, of 2 pers: Robt. Mosse, Thomas Ward. BRYAN SCOTT (or STOTT), 850 acs. Lancaster Co., 24 Aug. 1664, p. 198, (93). 800 acs. bounding upon land of Jno. Sympson & 50 acs. beg. at tree of sd. Sympson, running N.N.W. to Narra- tico Cr. 800 acs. by patent dated 10 J..."
MR. RICHARD MERRIMAN,1000,Lancaster,1664-04-07,"MR. RICHARD MERRIMAN, 1000 acs. upon N. side of Lancaster Co., 7 Apr. 1664, p. 199, (94). Upon the head of Morratico Cr. Trans, of 20 pers: Abram Shaw, James Wilson, Jno. Jeames, Tho. Mason, Giles Tompson, Mary Fletcher, Wm. Ladmore, Susan Francklin (or Framblin), Jno. Gregory, Edwd. Wade, Richd. Smith, Jno. Thorngton, Wm. Hade, Mathew Parker, Hen. Dunning, James Cadmill, Anthony Lowell, Wm. Reve (or Rene), Joye Mason, Mary Snelling. Marginal Note: This land assigned to Wm. Hall, Marri- ner & re..."
THOMAS BRYAR,300,Lancaster,1663-03-14,"THOMAS BRYAR, 300 acs. in Rappa. Co., 14 Mar. 1663, p. 199, (94). Upon outermost lines of marked trees of Mr. Charles Grimes. Trans, of 6 pers: Eliz. Wms. (Williams), Wm. Wms., Seth Browne, Samll. Cherid ?, Mary Kinsey, Sarah Kinsey. BRYANT & THOMAS STOTT (or Scott), 600 acs. Lancaster Co., 18 Mar. 1662, p. 199, (95). Upon S.E. side of Morraticon Riv., bounded W. by S. up- on land of Mr. David Fox. Granted to Rich. Hotton & Lambert Lamberton 14 Oct. 1652 & after several sales assigned by Alex. P..."
MR. THO. CHETWOOD,700,Lancaster,1663-03-14,"MR. THO. CHETWOOD, 700 acs. N. side of Lancaster Co., 14 Mar. 1663, p. 202, (98). 200 acs. thereof running along Chikacone path. 500 acs. by- patent dated 9 July 1663 & 200 acs. for trans, of 4 pers: Mary Smith, Fran. Peoble, Joane Smart, Richd. Povey. CLOUD TVLOS (or Tulos), 100 acs. N'umberland Co., 27 June 1665, p. 202, (99). In Chikacone Riv., bound- ing upon lands of Robt. Lick, Capt. Rogers, Mr. Roddam & Jno. Kent. Trans, of 2 pers: Dorcas Hinton, Jno. RofFe (or Rosse)."
JOSEPH BAYLY,1215,Lancaster,1665-06-27,"JOSEPH BAYLY, 1215 acs. N. side of Lancaster Co., 27 June 1665, p. 203, (100). Upon a main branch of Corro- toman. Trans, of 25 pers: Jno. Ben- nett, Jno. Carter, James Blackman, Robert Clanck, Edward Hill, Wm. Hackney, Valentine Vallys, Samll. Ever- ton, Jno. Gutteridge, Robt. Norman, Wm. Rann, George Baker, Wm. Miller, Rich. Wells, George Dyer, Eliz. Woods, Mary Martin, James Porter, Jno. Scold, Rich. Parrett, 3 Negroes; Wm. Evans, Jno. Jones."
HENRY BRADLEY,300,Northumberland,1662-02-04,"HENRY BRADLEY, 300 acs. Northumberland Co., 4 Feb. 1662, p. 204, (102). Sly. upon Wiccocomico Riv., Ely. upon a Cr. dividing this & land of Thomas Saffall. Granted to Thomas Mallard 8 June 1653 & after several sales & assignments sold to sd. patentees."
JNO. TAYLOR,1000,Lancaster,1664-06-22,"JNO. TAYLOR, 1000 acs. Lancaster Co., 22 June 1664, p. 207, (107). Bet. great Wiccocomico Riv. & branches of same & branches of Corrotoman Riv. Granted to Jno. Hughlett, who sold to Thomas Gascome 28 May 1658 & by him assigned to sd. Jones & Taylor 24 Oct. 1659."
MR. WM. LECH,250,Lancaster,1665-07-17,"MR. WM. LECH, 250 acs. Lancaster Co., 17 July 1665, p. 210, (111). On the S. side of sd. County, upon the Green Sw., bounding upon land of Col. Elliot, running N.E. by N. &c. & E. by S. to land of Wm. Tignor, S. by W. &c. Trans, of 5 pers: Wm. Poole, George Finch, Henry Sturman, George Gaunt, Richard Picknell (or Pickrell)."
WM. TOMPSON,300,Lancaster,1665-07-19,"WM. TOMPSON, 300 acs. Lancaster Co., 19 July 1665, p. 210, (111). Upon S. of Rappa. Riv., abutting S.E. upon land surveyed for Francis Browne, upon N.W. side of Sandy poynt Neck. Granted to Jno. Sharpe 10 Oct. 1659 & sold to sd. Tompson."
JNO. CURTIS,600,Lancaster,1662-03-05,"JNO. CURTIS, 600 acs. Lancaster Co., 5 Mar. 1662, p. 221, (129). On the head of Nimcock Cr., beg. at a small cr. known by the name of Holo- bush Sw. Cr. &c. down Hollowbush 466 Cavaliers and Pioneers E. N. E. &c. Granted to Charles Grymes, by him deserted & granted sd. Curtis by order of the Gen. Ct. SAME. 560 acs. Same date & pages. On N.E. side of the great Swamp, beg. at a white oake standing by the path side that goeth over sd. Swamp, N.W. to land of Mr. Cuttbert Potter &c. Trans, of 11 pers..."
JOHN NEWMAN,480,Lancaster,1663-03-26,"JOHN NEWMAN, 480 acs. on the lower or Ewd. side of Moratticon Cr. in Lancaster Co., 26 Mar. 1663, p. 222, (130). Adj. land formerly belonging to Mr. David Fox. Trans, of 10 pers: Tho. Crow, Wm. Morton, Margt. Web- ster, Jane Edwards, Hen. Webster, Danll. Stanton, Mary Wakeman, Hen. Creton, Hump. Lambert."
WILLIAM LUDFORD,300,Lancaster,1663-06-01,"WILLIAM LUDFORD, 300 acs. Lancaster Co., 1 June 1663, p. 222, (130). On head of Parrates Cr. Trans. of 6 pers: John Sales, Edw. James, Jacob Laramore, Tho. Court, Wm. Simons, Mary Jackson. THOMAS WILLIAMS, 66 Acs. 4 chs. 7 dec. parts, in James City Co., 10 Nov. 1663, p. 223, (131). Upon branches of Archers Hope Cr., beg. on N.E. side of a branch dividing this from Harrop & Littletowne devdts. &c. to branch dividing this from Col. Humph. Higgensons devdt. &c. near the path to Col. Higgensons Quar..."
EDWARD ROE,150,Lancaster,1663-12-02,"EDWARD ROE, 150 acs. Lancaster Co., 2 Dec. 1663, p. 226, (136). Beg. on the head of branches of the beaver damms that issue out of Peanketanke Riv., running N.W. along Chesecake path towards Matchapungo, thence S. W. towards marked trees of Col. Robt. Smith. Trans, of 3 pers: Ann Stephens, Wm. Phenix, Mary Corbett."
WM. SARSON,107,Lancaster,1662-03-18,"WM. SARSON, 107 acs. James Citty Co., 18 Mar. 1662, p. 231, (145). N. side of James Riv. & S. side of Parch- mores Cr., Nly. on Goose hill house, &c. Ely., Sly. & Wly. on the maine river. Renewal of patent dated 2 Mar. 1656. PETER MILLS, sonne & heire of Wm. Mills, 400 acs. Lancaster Co., 6 Sept. 1654, p. 231, (145). On N. side & within the freshes of Rappa. Riv., bounded on N. with land surveyed for Toby Smith & S.E. upon land of Tho- mas Hobkins. Granted to said Wm. Mells 6 Sept. 1654. LT. COL..."
MR. RAWLEIGH TRAVERS,300,Lancaster,1662-12-29,"MR. RAWLEIGH TRAVERS, 300 acs. Lancaster Co., 29 Dec. 1662, p. 232, (147). Upon W.N.W. side of Morattico Cr., opposite land of Edward Myles, abutting S.W. upon a branch of sd. Cr. dividing this & land of Capt. Moore Fantleroy &c. Granted to Mr. Henry Corbyn 30 Nov. 1659 & by him assigned to sd. Travers. DAVID FOX, Gent., 350 acs. called the Poplar Necke, on N. side of Lan- caster Co., running Ely. upon land of Capt. Hacket, W. Nly. upon land formerly John Robinsons. 21 Aug. 1663, p. 232, (147). ..."
MAS TYPPER,547,Westmoreland,1662-03-18,"MAS TYPPER, 547 acs. Westmoreland Co., 18 Mar. 1662, p. 236, (153). Beg. at corner of land of Gerrard Fowke, extending up S.most branch of Paspe- tanke Cr. S. by W. to white oake in Roger Perfetts line &c. by a path that leads from Nanzaticun unto Mr. Fowkes house &c. Renewal of patent dated 30 July 1660."
DAVID FOX,80,Lancaster,1662-03-20,"DAVID FOX, 80 acs. Lancaster Co, 20 Mar. 1662, p. 242, (165). N. side of Rappa. Riv. & S.E. side of 1050 acs. granted to him 2 Apr. 1650, running to mouth of Faire wether Cr. Renewal of former patent."
MR. DAVID FOX,238,Lancaster,1663-03-18,"MR. DAVID FOX, 238 acs. N. side of Lancaster Co., 18 Mar. 1663/4, p. 256, (191). Bounded Ely. by land of Capt. Hackett, John Senior's Orphant & Henry Davis, Nly. by his own land, Sly. by land of Anth. Stephens & Wly. by Morattico path. Sd. land entered in the office 26 Mar. 1662, granted sd. Fox 21 Aug. 1663 & since resurveyed, an error being in the first survey. NOTE: Pages 257 to 262, inclusive, have been cut out of Old Volume 5 and the following abstracts are made from New Book 5."
JOHN RICHINS,400,Lancaster,1663-06-15,"JOHN RICHINS, 400 acs. Lancaster Co., 15 June 1663, p. (195). Beg. up- on a small branch of Briery Sw. Trans, of 7 pers.*"
MR. RICHARD HALL,150,Lancaster,1664-08-16,"MR. RICHARD HALL, 150 acs. Warwick Co., 16 Aug. 1664, p. (195). 100 acs. S.E. on James Riv., beg. at a creek parting this from land of Merry Point, running along the river N.W. to a locust parting this from land of 478 Cavaliers and Pioneers Mr. Thomas Owen, thence into the woods to Mr. Robert Newmans dam; 50 acs. at Merry Point, bounding S.W. on James Riv., joining Ely. to his patent of 100 acs. & Wly. on land of sd. Owen. 100 acs. renewal of patent dated 13 Jan. 1661 & 50 acs. for trans, of 1 ..."
CHER,400,Lancaster,1662-03-18,"CHER, 400 acs. Lancaster Co., on N. W. side of Corotoman Riv., 18 Mar. 1662, p. 287, (245). S. upon sd. River, S.Wly. upon a br. or Cr. issuing out of sd. Riv. opposite land now in tenure with Henry Davis, N.Ely upon land surveyed for John Nichells called Now Perfect his land, etc., the aforesaid parallel line dividing this & land one Hale bought of one Hawker. Granted to sd. Thatcher last of Nov. 1656, part of which he assigned to sd. Michaell. DANIELL WHITE, Gent., 69 acs. at a place called th..."
JOHN PAINE,88,Lancaster,1662-02-20,"JOHN PAINE, 88 acs. Lancaster Co., 20 Feb. 1662, p. 288, (247). N. side of Rappa. Riv., abutting N. & by W. upon land of Edward Harris, deed., S. by E. upon a Cr. dividing this from land of Richard Coleman. Granted to Rice Jones 2 Sept. 1652, sold to Howell Powell & George Harris, who assigned to Charles Snead & by him assigned to sd. Paine. JOHN BENNETT &"
THEWS,300,Lancaster,1662-03-18,"THEWS, 300 acs. Lancaster Co., 18 Mar. 1662, p. 291, (252). On N. side & in the freshes of Rappa. Riv., beg. on N. side of Clifts Cr. which divides this & 700 acs. in the occupation of John Weir, extending nigh the Riv. N. by W. &c. Granted to John Weir, the last of Mar. 1655 & by him sold to the abovementioned."
THOMAS GLASCOCK,600,Lancaster,1663-03-11,"THOMAS GLASCOCK, 600 acs. Lancaster Co., 11 Mar. 1663, p. 309, (286). N.W. side of Moratico Cr., about a mile up the same, beg. on N.E. side at the mouth of N.N.W. br. of Moratico Cr. &c. S.E. parallel to the branch upon land of Nicholas Ferman (or Forman), Sec. Renewal of patent dated 20 July 1652. MR. JAMES WARRADINE, 1070^ acs., 18 Mar. 1662, p. 309, (287). 470^ acs. of land & swamp W.S.W. upon the woods next Jno. Chaplins &c, N.E. to a bottom which lyeth at the head of Richards land &c. 600 ..."
CAPT. THOMAS HACKETT,800,Lancaster,1663-03-18,"CAPT. THOMAS HACKETT, 800 acs. Lancaster Co., 18 Mar. 1663, p. 310, (289). N.W. side of Corrotoman Riv., abutting N.E. upon land of Mr. Jno. Senior & S.W. upon land of Wm. Clapham, now in possession of Tho. Powell. Renewal of patent dated 9 June 1652. JNO. JOHNSON, 737 Acs. 145 perches, lying in the freshes of Rappa. Riv. on S. side of Occpason Cr., beg. on the lower end of land of Wm. Hall, extending S.W. &c. nigh land of Augus- tine Blithenbird &c. nigh miles end of Lawsons Island. Granted to ..."
GEORGE HASPLOCK,200,Lancaster,1663-03-17,"GEORGE HASPLOCK, 200 acs. Lancaster Co., 17 Mar. 1663, p. 313, (294). On Rappa. Riv., on head of land formerly surveyed for Mr. James Williamson, & on Totoskey Cr., run- ning for breadth from a marked white oak 100 po. N.E. by N. by the Cr. side to a small branch deviding this & the land allotted to the Rappa. Indians, & thence for length &c. Granted to Jno. Surlock 15 Nov. 1653, who sold to sd. Hasplock."
SAMUELL GOOCH,450,Lancaster,1663-12-12,"SAMUELL GOOCH, 450 acs. Lancaster Co., on E.most br. of Corotoman Riv., 12 Dec. 1663, p. 320, (309). E. upon land of Tho. Chet- wood, running E. &c. Granted to Col. Jno. Carter, Esqr., 20 Sept. 1661, as- signed to Tho. Marshall, who assigned to Wm. Cooke, Jno. Potter & Wm. Hutchins, & by Hutchins assigned to sd. King & Gooch. THOMAS PATTISON (Patteson), &"
JOHN CURTIS,420,Lancaster,1664-11-19,"JOHN CURTIS, 420 acs. Lancaster Co., 19 Nov. 1664, p. 325, (318). N. side of Rappa. Riv. at the head of Morattico Cr., beg. on main br. side thereof &c. S.S.E. on land formerly Tho. Chetwoods, thence 220 po. to John New- mans &c. Trans, of 9 Negroes."
THOMAS BRICE,1650,Lancaster,1662-03-18,"THOMAS BRICE, 1650 acs. Lan- caster Co., 18 Mar. 1662, p. 339, (344). N. side of Rappa. Riv., being part of an Indian habitation called old Moratti- con; beg. at a red oak standing on a poynt on the river side & on Nwd. side of the mouth of Harris Cr., running E. N. E. adj. land of Edward Harris &c. to Swd. br. of dividing Cr. which be- longs to Cottawoman Riv., running down the same to the first dividing poynt &c. to Ewd. side of the middle br. of Fairewethers Cr. &c, crossing Brices Cr. to beg..."
MR. ROBT BRISTOW,1000,Lancaster,1663-01-01,"MR. ROBT BRISTOW, 1000 acs. Lancaster Co., 29 Sept. 1663, p. 342, (351). In Fleets Bay, abutting Nly. upon Haddawaies Cr. dividing this & land of Abra. Moone, S. upon another Cr. about 4 mi. from the land of Jno. Taylor & Wly. down sd. Cr. till it cometh to the maine bay. Granted to Humph Tabb 22 Mar. 1654 & by Tho. Tabb, his son & heir, assigned to Mr. Phill. Mallory, who assigned to sd. Bristow & Edm. Welch & sd. Welch wholly assigned to sd. Bristow. GEORGE GILBERT, (Gilburt), 400 acs. James C..."
MAJOR DAVID CANT,100,Lancaster,1663-10-13,"MAJOR DAVID CANT, 100 acs. Lancaster Co., 13 Oct. 1663, p. 345, (357) . Upon the head of Nimcocke Cr. about V/z mi. from the water, beg. at tree of Mr. Potter standing by Matta- pony path side, running N. E. &c. to land of Abraham Moone &c. Trans, of 2 pers: Tobias Ceely, Tho. Boone."
WM. JONES,353,Lancaster,1663-01-01,"WM. JONES, 353 acs. New Kent Co., Stratton Parish, 1 Jan. 1663, p. 345, (358). Beg. on N.W. side of Arrakeco Sw., joyning land of Leanord Chamber- line, running N.W. &c. Trans, of 7 pers: Edw. Mathews, Tho. Jones, Ed. Morland, Wm. Anderson, Jno. Ellies, Jno. Thompson, Tho. Langley. WM. CRUMPE (Crump), 300 acs. Lancaster Co., 16 Feb. 1663, p. 346, (359). N. side of the E. branch of Coratoman Riv., beg. on E.most side of a small creek of same dividing this & land of Elias Edmonds. Trans, of 6 pers..."
FRANCES PRICHARD,700,Lancaster,1663-10-29,"FRANCES PRICHARD, 700 acs. on N. side of Lancaster Co., 29 Oct. 1663, p. 346, (360). Running to a main br. of Curratoman Riv., thence to a pehick- ery which was formerly a corner tree of one Dennis Hackers. Trans, of 14 pers: Fra. Weekes, twice, ; Sam. Weekes, Ann Barlow, Anth. Reily, Jno. Hunt, Peter Smith, Sam. Hardacur, Eliz. Browne, Alice Hollick, Wm. Ran, Jno. Marshall, Wm. Barbery, Lea. Yeo."
STEPHEN TOMLING,480,Lancaster,1664-11-01,"STEPHEN TOMLING, 480 acs. N. side of Lancaster Co., 1 Nov. 1664, p. 371, (406). Bounding upon land of Wm. Thomas, Brian Stott (or Scott) & Tho. Chetwood and land which was formerly Parson Grimes. Trans, of 10 pers: Xpher. Young, Robt. Stagg, John Penn, Ann (or Wm.) Price, Mary West, Jno. Copping, Rich. Merri- man, his wife twice, Rabecca Patent."
JAMES BONNER,650,Lancaster,1664-06-08,"JAMES BONNER, 650 acs. Lancaster Co., 8 June 1664, p. 372, (409). S. side of Rappa. Riv., beg. at the mouth of a br. dividing this & land of Tho. Dale, the son of Nich. Dale, dec'd., extending along the Riv. E. by S. to trees dividing this & land of George Wading, S. by W. &c. Renewal of patent dated 19 Oct. 1653. THOMAS & ROBT. ELLIOT, sons of Col. Anthony Elliot, 2000 acs. in the freshes of Rappa. Riv., beg. on S. side thereof about 4 mi. above Nanzemun Towne &c. 26 Apr. 1664, p. 373, (410). R..."
